,ingredient,class,reason,int_label,prompt
218,fd&c blue no. 2,controversial,"FD&C Blue No. 2, also known as Indigo Carmine, has been associated with some health concerns and controversy. While some studies suggest potential links to allergic reactions and behavioral effects in children, more research is needed to establish a clear consensus on its overall impact on human health.",0,"Ingredient: fd&c blue no. 2
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
219,"fd&c blue no. 2, aluminum lake",controversial,"FD&C Blue No. 2 Aluminum Lake, a synthetic dye, has been linked to allergic reactions in some individuals, but more research is needed to determine its overall impact on human health. Aluminum compounds, like aluminum lake, have raised concerns regarding potential neurotoxicity and their possible contribution to conditions like Alzheimer's disease, but the evidence is inconclusive.",0,"Ingredient: fd&c blue no. 2, aluminum lake
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
220,fd&c green no. 3,harmful,"FD&C Green No. 3, also known as Fast Green FCF, has been linked to potential health risks. Studies have shown it may have carcinogenic effects and cause allergic reactions in some individuals.",1,"Ingredient: fd&c green no. 3
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
221,fd&c lakes/dyes,controversial,"There is ongoing debate and research regarding the potential health effects of FD&C lakes/dyes. Some studies suggest a possible link to hyperactivity and allergies, while others claim they are safe when consumed in amounts within regulatory limits.",0,"Ingredient: fd&c lakes/dyes
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
222,fd&c red no. 1--delisted,harmful,"FD&C Red No. 1, also known as Allura Red AC, has been linked to various health concerns including potential carcinogenic effects and allergic reactions. Its delisting may indicate safety concerns associated with this ingredient.",1,"Ingredient: fd&c red no. 1--delisted
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
223,fd&c red no. 2--delisted,controversial,"FD&C Red No. 2, also known as amaranth, has been delisted for use as a food additive in the United States due to concerns over its potential carcinogenic effects. However, there is still debate within the scientific community about its safety and impact on human health.",0,"Ingredient: fd&c red no. 2--delisted
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
224,fd&c red no. 3,controversial,"FD&C Red No. 3, also known as Erythrosine, is a controversial ingredient. Some studies have suggested potential health risks, including links to thyroid tumors and hypersensitivity reactions. However, regulatory agencies have deemed it safe for use in certain applications at specified levels.",0,"Ingredient: fd&c red no. 3
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
225,fd&c red no. 40,controversial,"FD&C Red No. 40 is a synthetic dye commonly used in food and cosmetics. It has been associated with allergic reactions in some individuals and hyperactivity in children, although research results are mixed. Some studies suggest potential links to behavioral issues and carcinogenicity, while others argue that the levels used in food products are too low to cause harm. Overall, the safety of FD&C Red No. 40 is still debated, making it a controversial ingredient in terms of its impact on human health.",0,"Ingredient: fd&c red no. 40
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
226,"fd&c red no. 40, aluminum lake",harmful,"FD&C Red No. 40 is a synthetic dye that has been linked to potential negative health effects, including allergic reactions and hyperactivity in children. Additionally, aluminum is a heavy metal that has been associated with neurological disorders and other health concerns.",1,"Ingredient: fd&c red no. 40, aluminum lake
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
227,"fd&c red no. 40, calcium lake",controversial,"FD&C Red No. 40 is a synthetic color additive that has been linked to potential health concerns, including hyperactivity in children and allergic reactions in some individuals. While the FDA considers it safe for consumption in small amounts, there are ongoing debates about its long-term effects on human health.",0,"Ingredient: fd&c red no. 40, calcium lake
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
228,fd&c yellow no. 5,controversial,"Some studies suggest potential harmful effects in individuals with sensitivity or intolerance to food colorings, but regulatory agencies deem it safe in small quantities",0,"Ingredient: fd&c yellow no. 5
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
229,"fd&c yellow no. 5, aluminum lake",harmful,"FD&C Yellow No. 5 (Tartrazine) has been linked to several health issues such as allergies, asthma, hyperactivity in children, and potentially increasing the risk of cancer. Aluminum Lake is an insoluble form of aluminum that has been associated with neurotoxicity and has raised concerns regarding its potential link to Alzheimer's disease.",1,"Ingredient: fd&c yellow no. 5, aluminum lake
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
230,"fd&c yellow no. 5, calcium lake",controversial,"FD&C Yellow No. 5 (Tartrazine) is a synthetic dye that has been associated with allergic reactions and hyperactivity in some individuals. While it is approved for use in food by regulatory agencies, some studies have raised concerns about its potential adverse effects. Calcium Lake is a form of a dye that is commonly used in food and cosmetics. Its impact on human health is controversial, with limited research available on its long-term effects.",0,"Ingredient: fd&c yellow no. 5, calcium lake
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
231,fd&c yellow no. 6,controversial,"FD&C Yellow No. 6, also known as Sunset Yellow FCF, has been a topic of controversy due to possible links to allergic reactions and hyperactivity in children. While some studies suggest potential harmful effects, it is still approved for use in food by regulatory authorities in many countries, including the FDA in the United States. More research is needed to fully understand its impact on human health.",0,"Ingredient: fd&c yellow no. 6
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
232,"fd&c yellow no. 6, aluminum lake",controversial,"FD&C Yellow No. 6 is a synthetic color additive that has been linked to potential health concerns, including allergic reactions and hyperactivity in some individuals. Aluminum lake is a form of aluminum used to color food and drugs, with some studies suggesting a possible link to neurological issues. However, regulatory agencies like the FDA consider both ingredients safe for consumption in specified amounts, and more research is needed to fully understand their long-term health impacts.",0,"Ingredient: fd&c yellow no. 6, aluminum lake
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
233,"fd&c yellow no. 6, calcium lake",controversial,"FD&C Yellow No. 6 (Sunset Yellow FCF) is a synthetic color additive that has been linked to potential health concerns such as hyperactivity in children, allergies, and intolerances. However, the FDA and other regulatory agencies have not definitively classified it as harmful, leading to a controversial status.",0,"Ingredient: fd&c yellow no. 6, calcium lake
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
234,fenugreek extract,not harmful,Fenugreek extract is generally considered safe when consumed in moderate amounts as a spice or herbal supplement. It has been used for centuries in traditional medicine and cooking without significant reported harmful effects.,2,"Ingredient: fenugreek extract
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
235,fenugreek oleoresin,controversial,"Fenugreek oleoresin is considered controversial as there are conflicting studies regarding its potential health effects. While some studies show potential benefits such as anti-inflammatory and anti-diabetic properties, others suggest possible side effects like allergic reactions. Further research is needed to make a conclusive determination.",0,"Ingredient: fenugreek oleoresin
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
236,ferric phosphate,not harmful,"Ferric phosphate is a source of iron, which is an essential mineral for the human body. It is commonly used in food fortification to address iron deficiency. When consumed in appropriate amounts, ferric phosphate is not considered harmful to human health.",2,"Ingredient: ferric phosphate
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
237,ferric pyrophosphate,controversial,"Ferric pyrophosphate is commonly used as an iron fortificant in foods. While iron is essential for human health, excessive intake can have negative health effects. The controversy lies in the balance between ensuring adequate iron intake, especially for at-risk populations, and the potential for iron overload in others.",0,"Ingredient: ferric pyrophosphate
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
238,ferrous fumarate,not harmful,"Ferrous fumarate is an iron supplement commonly used to treat or prevent iron deficiency anemia. It is generally safe and effective when taken as directed. Iron is an essential mineral for the body, and supplementation can help improve iron levels in individuals with a deficiency.",2,"Ingredient: ferrous fumarate
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
239,ferrous gluconate,not harmful,"Ferrous gluconate is a form of iron that is commonly used to treat or prevent iron deficiency anemia. It is generally considered safe and effective when used as directed. Iron is an essential mineral for the human body, necessary for the production of red blood cells and overall good health.",2,"Ingredient: ferrous gluconate
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
240,ferrous lactate,not harmful,"Ferrous lactate is a source of iron commonly used in food fortification and supplementation. Iron is an essential mineral required for various bodily functions, and ferrous lactate is a well-absorbed form of iron. Consuming ferrous lactate in recommended amounts can help prevent iron deficiency anemia and support overall health.",2,"Ingredient: ferrous lactate
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
241,ferrous sulfate,not harmful,Ferrous sulfate is a form of iron that is commonly used to treat or prevent iron deficiency anemia. It is generally safe when taken in recommended doses and can be beneficial for improving overall health.,2,"Ingredient: ferrous sulfate
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
242,fiber,not harmful,"Fiber is essential for maintaining a healthy digestive system, regulating blood sugar levels, and lowering cholesterol. It is generally considered beneficial for overall human health.",2,"Ingredient: fiber
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
243,fish protein,not harmful,Fish protein is a high-quality source of protein that provides essential amino acids and omega-3 fatty acids which are beneficial for human health.,2,"Ingredient: fish protein
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
244,flavor,controversial,"While flavor itself is not harmful, some artificial flavors may contain chemicals that could be harmful to health. The safety of specific flavor additives can vary, leading to controversy over their potential impact on human health.",0,"Ingredient: flavor
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
245,flavor,controversial,"While flavoring agents themselves can be harmless, some artificial flavors may contain potentially harmful chemicals. The impact on human health can vary depending on the specific type and amount of flavor used.",0,"Ingredient: flavor
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
246,folic acid,not harmful,"Folic acid is a synthetic form of folate, a B-vitamin that is essential for human health. It plays a crucial role in DNA synthesis and repair, red blood cell formation, and overall cell division. Folic acid supplementation is particularly important for pregnant women to prevent birth defects. As long as consumed within recommended levels, folic acid is not considered harmful to human health.",2,"Ingredient: folic acid
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
247,"food starch, modified",controversial,"Food starch, modified is a commonly used ingredient in processed foods and its impact on human health is debated. While some studies suggest potential negative effects on gut health and blood sugar levels, others argue that it is generally safe for consumption in small amounts.",0,"Ingredient: food starch, modified
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
248,"food starch, pregelatinized",not harmful,Pregelatinized food starch is commonly used as a thickening agent in food products. It is generally recognized as safe by the FDA and does not pose any known health risks when consumed in normal quantities.,2,"Ingredient: food starch, pregelatinized
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
249,formic acid,harmful,"Formic acid is corrosive and can cause skin, eye, and respiratory irritation. Ingestion of large amounts can be harmful, leading to abdominal pain, vomiting, and even damage to internal organs.",1,"Ingredient: formic acid
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
250,fructans,controversial,"Fructans are a type of carbohydrate found in many plant foods, including onions, garlic, wheat, and some other grains. While some people may experience digestive issues like bloating and gas when consuming fructans, they also act as prebiotics that can promote the growth of beneficial gut bacteria. The impact of fructans on human health can vary from individual to individual.",0,"Ingredient: fructans
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
251,fructose,controversial,"Fructose is a natural sugar found in fruits and honey. Consuming excessive amounts of fructose, especially in the form of high-fructose corn syrup, has been linked to negative health effects such as obesity, insulin resistance, and fatty liver disease. However, when consumed in moderate amounts from whole fruits, fructose can be part of a healthy diet.",0,"Ingredient: fructose
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
252,fruit juice extract (or color),controversial,"While fruit juice extract or color can provide some vitamins and antioxidants, consuming fruit juice in excess can contribute to high sugar intake and associated health issues such as obesity and tooth decay. Additionally, some fruit juices may contain added sugars or artificial ingredients which can have harmful effects on health.",0,"Ingredient: fruit juice extract (or color)
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
253,fruit syrup,harmful,"Fruit syrup is often high in added sugars, which can contribute to various health issues such as obesity, type 2 diabetes, and tooth decay. Consuming too much fruit syrup can also lead to spikes in blood sugar levels.",1,"Ingredient: fruit syrup
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
254,fumaric acid,not harmful,Fumaric acid is naturally found in various fruits and vegetables and is also produced in the human body during metabolism. It is widely used as a food additive and is generally recognized as safe by regulatory authorities. There is no strong evidence suggesting harmful effects on human health when consumed in moderate amounts.,2,"Ingredient: fumaric acid
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
255,galactose,harmful,Galactosemia is a rare genetic disorder where the body is unable to metabolize galactose properly leading to toxic effects. Consuming foods high in galactose can be harmful for individuals with this condition.,1,"Ingredient: galactose
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
256,garcinia cambogia rind extract,controversial,There are mixed opinions about the effectiveness and safety of garcinia cambogia rind extract for weight loss. Some studies suggest potential benefits while others have raised concerns about adverse effects such as liver damage. More research is needed to draw a conclusive judgment on its impact on human health.,0,"Ingredient: garcinia cambogia rind extract
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
257,garlic extract,not harmful,"Garlic extract is generally considered not harmful and is even associated with potential health benefits such as boosting immunity, reducing inflammation, and improving heart health. It is a common ingredient in cooking and traditional medicine.",2,"Ingredient: garlic extract
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
258,gelatin,controversial,"Gelatin is a protein derived from collagen in animal skin, bones, and connective tissues. While considered safe by regulatory agencies, some people avoid it due to personal, religious, or ethical reasons. Additionally, its sourcing from animal products may be concerning to vegetarians, vegans, or individuals with dietary restrictions.",0,"Ingredient: gelatin
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
259,gelatin (with added sulfite agent),controversial,"Gelatin itself is a protein derived from collagen and is generally considered safe. However, some individuals may have allergies to sulfite agents, which are commonly used as preservatives. This can cause adverse reactions in sensitive individuals. Therefore, the overall impact can be considered controversial depending on individual sensitivities.",0,"Ingredient: gelatin (with added sulfite agent)
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
260,gellan gum,not harmful,Gellan gum is a safe food additive that is commonly used as a stabilizer and thickener in food products. It is not known to have any harmful effects on human health when consumed in reasonable quantities.,2,"Ingredient: gellan gum
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
261,ginger extract,not harmful,"Ginger extract is known for its anti-inflammatory and antioxidant properties. It has been used for centuries in traditional medicine to treat various ailments and has been shown to have potential health benefits such as reducing nausea, aiding digestion, and relieving pain.",2,"Ingredient: ginger extract
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
262,ginger oleoresin,controversial,"While ginger oleoresin is generally recognized as safe and may provide health benefits such as anti-inflammatory and antioxidant properties, there is limited research on its long-term effects and potential interactions with certain medications.",0,"Ingredient: ginger oleoresin
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
263,glucono-delta lactone,controversial,"There is limited research on the direct impact of glucono-delta lactone on human health. It is generally recognized as safe for use in food products by regulatory agencies, but some studies suggest potential concerns related to allergic reactions or digestive issues in sensitive individuals.",0,"Ingredient: glucono-delta lactone
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
264,glucose syrup,harmful,"Glucose syrup is considered harmful to health as it is a type of added sugar that can contribute to various health issues such as obesity, diabetes, and tooth decay when consumed in excess. It has a high glycemic index and can lead to rapid spikes in blood sugar levels.",1,"Ingredient: glucose syrup
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
265,glucose syrup (with added sulfite agent),harmful,"Glucose syrup with added sulfite agents can potentially cause adverse reactions in individuals who are sensitive or allergic to sulfites. Sulfites have been linked to health issues such as respiratory problems, skin reactions, and digestive disturbances.",1,"Ingredient: glucose syrup (with added sulfite agent)
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
266,glucose syrup solids,controversial,"Glucose syrup solids can be derived from corn, wheat, potatoes, or rice. While they provide a source of energy, they are highly processed and can lead to weight gain and dental issues if consumed in excess. The impact on blood sugar levels and insulin response can vary depending on the individual's metabolism and overall diet.",0,"Ingredient: glucose syrup solids
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
267,"glucose syrup, dried",controversial,"Glucose syrup, dried, is a highly processed ingredient derived from corn starch. While it is a source of carbohydrates and energy, consuming high amounts of glucose syrup, especially if it is made from genetically modified corn, may have negative health effects such as raising blood sugar levels and contributing to obesity. However, in small amounts as part of a balanced diet, it is not considered harmful.",0,"Ingredient: glucose syrup, dried
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
268,gluten,controversial,"For individuals with celiac disease or gluten sensitivity, gluten can be harmful. However, for the general population, there is no evidence to suggest that gluten is harmful. Some studies even suggest potential health benefits of consuming gluten-containing whole grains.",0,"Ingredient: gluten
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
269,glycerin,not harmful,Glycerin is considered safe for consumption and use in cosmetics. It is commonly used as a moisturizer and is generally well-tolerated by individuals.,2,"Ingredient: glycerin
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
270,glyceryl-lacto esters of fatty acids,not harmful,Glyceryl-lacto esters of fatty acids are generally considered safe for consumption and are widely used in food products as emulsifiers. There is limited evidence to suggest any harmful effects on human health.,2,"Ingredient: glyceryl-lacto esters of fatty acids
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
271,"glycol, c13-17",not harmful,"Glycol, C13-17 is commonly found in cosmetics and personal care products and is considered to be safe for use on the skin. It is not known to have harmful effects on human health.",2,"Ingredient: glycol, c13-17
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
272,grape extract (or color),not harmful,"Grape extract is derived from grapes, which are rich in antioxidants and various beneficial compounds. It is generally considered safe and even beneficial for health when consumed in moderation.",2,"Ingredient: grape extract (or color)
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
273,grape seed extract,not harmful,Grape seed extract is generally considered safe and has antioxidant properties that can be beneficial for human health. It is commonly used in dietary supplements and has not been linked to any significant harmful effects when consumed in moderation.,2,"Ingredient: grape seed extract
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
274,grape skin extract (or color),not harmful,"Grape skin extract is rich in antioxidants such as resveratrol, which have been linked to various health benefits including heart health and potential cancer-fighting properties. It is generally considered safe and even beneficial for human health when consumed in moderation.",2,"Ingredient: grape skin extract (or color)
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
275,grapefruit essence,controversial,"Grapefruit essence can interact with certain medications, affecting their absorption and metabolism, potentially leading to harmful effects. However, grapefruit is also a good source of vitamins and antioxidants, which can have beneficial effects on health. The overall impact on health can vary depending on individual circumstances.",0,"Ingredient: grapefruit essence
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
276,grapefruit extract,controversial,"While grapefruit extract is generally considered safe for most people and contains beneficial compounds like vitamin C, some studies suggest it may interact with certain medications and affect their effectiveness. More research is needed to fully understand its impact on human health.",0,"Ingredient: grapefruit extract
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
277,guanylate,controversial,"Guanylate, also known as disodium guanylate, is a flavor enhancer that is commonly used in processed foods. While some studies suggest that consumption of large amounts of guanylate may have negative health effects such as triggering migraines or causing allergic reactions in sensitive individuals, more research is needed to definitively determine its impact on human health. Therefore, its classification as controversial reflects the ongoing debate and lack of consensus among experts.",0,"Ingredient: guanylate
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
278,guar gum,not harmful,Guar gum is generally recognized as safe by the FDA. It is commonly used as a food additive and has not been shown to have any harmful effects on human health in normal dietary amounts.,2,"Ingredient: guar gum
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
279,guava extract,not harmful,"Guava extract is rich in antioxidants, vitamins, and minerals that can offer various health benefits, such as boosting the immune system, improving digestion, and supporting heart health. There are no known harmful effects of consuming guava extract in moderate amounts.",2,"Ingredient: guava extract
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
280,guava syrup,harmful,"Guava syrup may be harmful to human health due to its high sugar content. Excessive consumption of sugar has been linked to various health issues such as obesity, diabetes, and heart disease.",1,"Ingredient: guava syrup
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
281,guiaic gum,controversial,"Guar gum has been associated with potential digestive issues in some individuals, such as bloating and gas. However, it is generally considered safe in small quantities and is even used in medications to improve their texture.",0,"Ingredient: guiaic gum
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
282,gum gluten,harmful,"Gum gluten may cause adverse reactions in individuals with gluten intolerance or celiac disease, leading to digestive issues and other health problems.",1,"Ingredient: gum gluten
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
283,gums,controversial,"While some people may experience digestive issues or allergic reactions to certain types of gums, such as xanthan gum or guar gum, these ingredients are generally recognized as safe by regulatory authorities when consumed in small amounts. However, some individuals may choose to avoid gums due to personal sensitivity or potential gastrointestinal discomfort.",0,"Ingredient: gums
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
284,hemp protein,not harmful,"Hemp protein is a plant-based protein source that is rich in essential amino acids, healthy fats, and fiber. It can be a beneficial addition to a healthy diet and is not known to cause harm to human health when consumed in moderation.",2,"Ingredient: hemp protein
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
285,"hemp seed protein, dried",not harmful,"Hemp seed protein is a plant-based protein source that is rich in essential amino acids, omega-3 fatty acids, and fiber. It can have numerous health benefits, including supporting muscle growth, aiding digestion, and reducing inflammation. There are no known harmful effects associated with consuming hemp seed protein, making it a safe and healthy addition to a balanced diet.",2,"Ingredient: hemp seed protein, dried
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
286,hibiscus extract (or color),not harmful,"Hibiscus extract is rich in antioxidants and has been associated with various health benefits such as lowering blood pressure, improving liver health, and aiding in weight management. There are no known harmful effects associated with consuming hibiscus extract in normal food or beverage quantities.",2,"Ingredient: hibiscus extract (or color)
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
287,high fructose corn syrup,harmful,"High fructose corn syrup has been linked to various health issues such as obesity, type 2 diabetes, and heart disease. Consuming high amounts can lead to insulin resistance and contribute to metabolic disorders.",1,"Ingredient: high fructose corn syrup
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
288,high fructose corn syrup solids,harmful,"High fructose corn syrup solids are known to contribute to health issues such as obesity, diabetes, and heart disease due to their high concentration of fructose, which can lead to increased blood sugar levels and insulin resistance.",1,"Ingredient: high fructose corn syrup solids
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
289,high fructose wheat syrup,harmful,"High fructose corn syrup (HFCS) is associated with various negative health effects such as obesity, type 2 diabetes, and increased risk of heart disease. Its high fructose content has been linked to insulin resistance, inflammation, and other metabolic disorders when consumed in excess.",1,"Ingredient: high fructose wheat syrup
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
290,high maltose corn syrup,harmful,"High maltose corn syrup is a type of sweetener that contains high levels of processed sugars, which can contribute to various health issues such as obesity, diabetes, and tooth decay when consumed in excess.",1,"Ingredient: high maltose corn syrup
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
291,high maltose corn syrup solids,controversial,"The health impact of high maltose corn syrup solids is controversial as there is limited research specifically on this ingredient. However, similar to other forms of corn syrup solids, high maltose corn syrup solids may contribute to health issues like obesity and diabetes when consumed in excess.",0,"Ingredient: high maltose corn syrup solids
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
292,honey,not harmful,"Honey is a natural sweetener that is rich in antioxidants and has antibacterial properties. It can be beneficial for overall health when consumed in moderation. However, it should be noted that infants under the age of one should not consume honey due to the risk of botulism.",2,"Ingredient: honey
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
293,honey,not harmful,Honey is a natural sweetener that contains antioxidants and has antimicrobial properties. It can offer various health benefits when consumed in moderation.,2,"Ingredient: honey
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
294,"honey, dried",not harmful,"Dried honey is simply honey that has had its moisture removed, preserving its natural nutrients and properties. Honey is generally considered a healthy sweetener when consumed in moderation, providing various health benefits such as antioxidant and antimicrobial properties.",2,"Ingredient: honey, dried
Classify this ingredient IN TWO WORDS as harmful, not harmful, controversial, or unknown based on its effect on human health. Do not output more than TWO WORDS."
